Year,Author(s),Hugo,Novel,Publisher,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf,Series,Nika Shelf,Westdac,Westdac Date Read,Westdac Rating,Westdac Shelf
1978.0,Gregory Benford,,A Snark in the Night,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1978.0,Keith Laumer,,The Wonderful Secret,Analog Science Fact & Fiction,,,,,,,,,,,
1977.0,Spider Robinson,Winner,By Any Other Name,Analog Science Fact & Fiction,,,,,,,,,,,
1977.0,"James Tiptree, Jr.",Winner,"Houston, Houston, Do You Read?",Aurora: Beyond Equality (Fawcett Publications),,,,,,,,,,,
1977.0,Michael Bishop,,The Samurai and the Willows,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1977.0,Richard Cowper,,Piper at the Gates of Dawn,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1976.0,Roger Zelazny,Winner,Home Is the Hangman,Analog Science Fact & Fiction,,,,,,,,,,,
1976.0,George R. R. Martin/Lisa Tuttle,,The Storms of Windhaven,Analog Science Fact & Fiction,,,,,,,,,,,
1976.0,Larry Niven,,ARM,Epoch (Putnam Publishing Group),,,,,,,,,,,
1976.0,Algis Budrys,,The Silent Eyes of Time,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
